"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Charleston Southern",69.7899,87,68.8427,77,91.5229,345,92.2784,343,110.017,328,112.789,340,-20.5109,350
"2022","Charlotte",66.621,261,65.3533,265,104.73,122,104.975,138,107.073,283,107.524,267,-2.54874,202
"2022","Chattanooga",65.5215,308,64.6371,302,111.059,24,110.028,58,99.6475,123,98.7556,95,11.2723,72
"2022","Chicago St.",66.9022,248,65.5276,259,92.8099,335,95.7262,308,110.649,332,113.092,343,-17.3662,339
"2022","Cincinnati",68.5406,150,67.4426,147,101.03,200,104.492,150,96.7123,56,97.4489,71,7.04269,101
"2022","Clemson",66.6501,258,66.1519,226,106.832,69,109.957,59,102.007,188,99.5638,112,10.3932,78
"2022","Cleveland St.",68.4255,160,67.5893,133,107.401,56,103.692,168,101.328,167,106.28,247,-2.58831,203
"2022","Coastal Carolina",66.5855,265,66.0409,236,102.459,168,103.174,172,99.2356,109,102.304,161,0.869649,158
"2022","Colgate",67.6928,197,67.2559,163,111.011,25,108.277,79,99.2826,110,104.06,203,4.21666,119
"2022","Colorado",68.4655,157,67.234,168,102.981,155,106.882,99,97.1845,65,95.4207,42,11.4616,70
"2022","Colorado St.",65.7368,297,65.0809,280,110.141,32,114.158,20,99.3144,113,98.3008,83,15.8569,31
"2022","Columbia",70.7133,53,69.4227,58,93.8094,327,93.3175,335,111.973,345,114.46,348,-21.1421,351
"2022","Connecticut",67.0231,242,64.884,291,109.555,34,113.925,21,95.4483,37,94.5969,35,19.328,18
"2022","Coppin St.",74.0051,5,72.1235,9,90.6106,349,92.1055,345,101.149,164,103.812,195,-11.7069,301
"2022","Cornell",72.9417,12,71.6342,16,104.175,129,103.628,169,104.161,239,105.372,224,-1.74371,192
"2022","Creighton",68.0849,174,66.8926,190,100.292,208,105.587,124,96.1478,45,92.1189,18,13.4684,53
"2022","Dartmouth",66.3531,270,64.583,311,98.5533,256,98.8759,258,101.009,159,101.332,143,-2.45628,200
"2022","Davidson",65.6986,299,64.6221,304,113.241,13,116.781,11,100.016,135,101.978,152,14.8027,41
"2022","Dayton",64.4367,339,62.9893,342,107.388,57,108.983,71,94.8763,32,95.7066,45,13.2767,57
"2022","Delaware",67.7472,194,66.6348,199,107.166,63,106.848,100,102.824,213,104.566,212,2.28281,145
"2022","Delaware St.",70.4527,67,68.3214,102,85.7651,356,86.3484,356,107.462,292,110.644,316,-24.2951,356
"2022","Denver",67.9128,184,66.2598,219,102.81,159,100.268,231,108.876,316,110.795,318,-10.5272,288
"2022","DePaul",70.3993,71,68.6664,90,102.978,156,107.039,97,102.523,203,100.307,121,6.73279,102
"2022","Detroit Mercy",65.2978,316,64.6452,301,106.445,76,105.579,125,107.732,302,110.622,314,-5.04275,230
"2022","Dixie St.",72.8046,16,71.2704,17,93.5032,331,95.9539,306,103.932,233,105.016,216,-9.0623,275
"2022","Drake",65.9712,284,66.0689,233,107.868,53,108.383,77,98.7542,101,98.5933,93,9.78992,85
"2022","Drexel",67.7862,190,66.3194,217,105.084,111,104.493,149,102.521,202,103.569,189,0.923746,157
"2022","Duke",68.2765,168,67.3872,150,117.152,5,119.362,7,98.2346,85,95.651,44,23.7114,12
"2022","Duquesne",66.8408,252,65.7633,249,95.9154,298,98.9601,256,108.374,309,108.986,286,-10.0255,283
"2022","East Carolina",68.8117,134,67.517,140,99.0249,242,102.798,185,102.395,199,103.874,197,-1.07534,185
"2022","East Tennessee St.",65.9795,283,65.2471,270,106.833,68,107.96,85,110.419,331,109.172,289,-1.21171,187
"2022","Eastern Illinois",66.3362,271,64.6362,303,82.0562,357,83.5342,357,107.59,296,108.91,282,-25.3753,357
"2022","Eastern Kentucky",71.6901,34,70.7727,23,103.311,149,101.367,209,105.283,258,109.359,293,-7.99185,260
"2022","Eastern Michigan",70.5386,62,69.102,67,94.9326,308,94.1287,330,106.325,272,107.391,264,-13.2625,314
"2022","Eastern Washington",70.5898,61,69.3059,62,105.846,90,103.996,161,105.422,264,107.898,274,-3.90172,219
"2022","Elon",66.9821,245,65.6894,253,97.3448,274,99.8212,243,108.404,310,107.16,260,-7.33931,253
"2022","Evansville",64.2653,340,63.9537,330,89.165,353,92.9979,338,108.615,312,106.85,254,-13.8524,319
"2022","Fairfield",65.1204,323,64.1285,324,101.134,198,100.345,230,100.708,149,104.126,205,-3.78074,216
"2022","Fairleigh Dickinson",70.4124,69,69.51,55,94.5021,315,94.9532,320,111.259,341,114.787,350,-19.8341,347
