"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2023","Abilene Christian",69.8901,82,69.1696,83,101.304,227,106.014,158,106.206,258,107.417,222,-1.40295,192
"2023","Air Force",63.6234,346,63.1398,347,104.037,155,106.449,152,104.358,213,104.461,154,1.98799,143
"2023","Akron",66.9744,232,65.3036,283,109.675,46,110.072,95,101.219,127,103.594,135,6.4781,104
"2023","Alabama",72.9291,10,72.77,4,110.643,35,115.832,21,91.8275,5,88.896,3,26.9363,3
"2023","Alabama A&M",69.8428,86,68.2584,137,96.7316,313,96.7968,328,100.815,116,108.068,239,-11.2715,305
"2023","Alabama St.",67.8581,186,65.9615,252,91.871,351,93.3464,352,105.994,251,110.906,293,-17.5591,349
"2023","Albany",67.7014,194,67.2937,173,97.5849,300,98.8858,300,112.28,349,116.245,353,-17.3593,348
"2023","Alcorn St.",68.0354,178,67.2427,175,98.7326,285,102.193,244,102.293,150,108.33,244,-6.13677,241
"2023","American",62.6089,358,62.5299,353,102.968,178,100.914,267,103.73,191,110.281,281,-9.36707,281
"2023","Appalachian St.",65.5818,299,64.9471,299,99.2191,275,101.518,254,99.9463,93,102.244,109,-0.726103,177
"2023","Arizona",72.8989,11,72.2672,9,113.208,13,120.078,4,98.1517,68,97.2023,41,22.8757,10
"2023","Arizona St.",69.1548,121,68.3524,131,100.983,236,107.689,133,96.9713,48,95.3115,28,12.3775,68
"2023","Arkansas",70.1147,73,69.6271,54,105.743,119,112.703,51,95.813,35,94.0642,16,18.6389,20
"2023","Arkansas Pine Bluff",70.464,60,69.5833,56,91.3882,354,94.7499,342,102.456,155,108.013,238,-13.2632,320
"2023","Arkansas St.",64.209,339,63.365,343,98.7942,282,100.41,277,106.092,256,109.878,271,-9.46812,284
"2023","Army",67.8896,183,68.5209,117,104.293,152,103.058,227,103.299,181,110.02,275,-6.96192,252
"2023","Auburn",68.6925,146,67.5553,166,105.387,131,112.771,48,97.2563,53,95.3652,29,17.4056,29
"2023","Austin Peay",65.8231,289,64.7591,308,96.216,321,97.214,322,110.408,324,111.114,295,-13.8997,324
"2023","Ball St.",68.2147,173,67.5075,168,109.558,50,108.208,116,105.959,249,107.976,237,0.231734,164
"2023","Baylor",67.8723,185,66.5058,217,113.141,14,121.947,2,103.675,190,101.961,104,19.9863,15
"2023","Bellarmine",62.5309,359,62.1348,356,100.666,243,102.524,236,110.361,323,110.5,284,-7.97554,261
"2023","Belmont",69.0788,122,68.3493,132,109.577,49,111.643,69,103.964,198,107.556,227,4.08726,123
"2023","Bethune Cookman",69.8387,87,68.955,96,96.2072,322,97.1738,324,109.059,308,114.526,344,-17.3524,347
"2023","Binghamton",66.5612,252,66.0086,246,99.9519,258,98.7609,301,107.432,281,110.713,290,-11.9522,311
"2023","Boise St.",67.0127,229,66.4545,219,105.781,118,111.081,78,95.3921,27,93.9061,14,17.1748,31
"2023","Boston College",66.7362,239,66.5306,215,99.2327,274,102.695,232,104.658,221,103.138,125,-0.442704,172
"2023","Boston University",65.8969,284,65.4057,279,98.8786,281,98.1729,309,101.158,122,106.95,211,-8.77666,273
"2023","Bowling Green",71.1349,37,69.6202,55,104.732,143,103.788,207,111.182,334,113.124,331,-9.33601,280
"2023","Bradley",65.8489,287,65.1742,290,106.059,110,107.227,141,94.1959,14,97.9789,52,9.24786,86
"2023","Brown",69.897,81,69.2781,74,98.9997,278,100.88,269,98.4884,71,101.893,100,-1.01353,183
"2023","Bryant",72.2369,24,71.9979,14,105.461,128,105.062,176,103.923,196,107.919,236,-2.85687,209
"2023","Bucknell",66.1334,278,66.7755,202,99.4072,267,99.0944,295,103.608,186,110.552,286,-11.458,306
"2023","Buffalo",73.5653,6,72.1568,12,102.365,196,104.298,193,106.737,269,106.901,208,-2.60266,203
"2023","Butler",67.2418,218,65.4898,277,96.8862,311,102.544,235,101.384,131,98.5466,60,3.99725,124
"2023","BYU",70.6248,55,69.5477,62,104.842,142,109.292,101,98.8727,76,97.6657,49,11.6268,76
"2023","Cal Baptist",65.6213,298,64.0628,332,101.157,231,103.845,200,99.5956,90,102.788,118,1.05681,155
"2023","Cal Poly",64.4705,336,64.1315,330,91.4511,353,94.4058,347,102.411,153,104.364,150,-9.9586,289
"2023","Cal St. Bakersfield",63.3555,350,63.1791,345,92.02,350,95.3137,339,102.61,160,105.356,177,-10.042,293
"2023","Cal St. Fullerton",65.2092,314,64.7832,307,101.51,220,105.058,177,98.2456,69,100.484,81,4.57329,118
"2023","Cal St. Northridge",65.3449,311,65.2893,284,93.1948,348,95.872,336,106.384,261,109.824,270,-13.9521,325
