TeamName,Pythag
Gonzaga,1.0
Michigan,0.9257703081232495
Illinois,0.9234784823020118
Baylor,0.9093455564043801
Iowa,0.9017061370002547
Houston,0.9006875477463715
Ohio St.,0.8573975044563281
Alabama,0.8519225872167049
Loyola Chicago,0.8361344537815127
Wisconsin,0.8221288515406162
Virginia,0.8221288515406162
Villanova,0.8217468805704101
Purdue,0.8172905525846703
USC,0.8166539343009932
Florida St.,0.8147440794499619
Connecticut,0.8125795772854597
Colorado,0.8097784568372804
Arkansas,0.8078686019862492
Creighton,0.8049401578813344
San Diego St.,0.804812834224599
Tennessee,0.8018843901196844
Kansas,0.8015024191494781
Texas Tech,0.8004838298955947
BYU,0.8003565062388592
St. Bonaventure,0.7988286223580342
Texas,0.7957728545963841
West Virginia,0.7924624395212632
North Carolina,0.7895339954163485
LSU,0.7831678125795775
Oklahoma St.,0.7727272727272728
Maryland,0.7720906544435957
Georgia Tech,0.7699261522790936
Duke,0.765215176979883
Rutgers,0.7647058823529412
Penn St.,0.7644512350394705
Oregon,0.7588489941431119
Florida,0.7571937866055514
Memphis,0.7462439521263051
Oklahoma,0.7456073338426281
Utah St.,0.7439521263050677
Syracuse,0.7403870639164758
Clemson,0.7394957983193278
Arizona,0.7366946778711485
UCLA,0.7364400305576777
VCU,0.7363127069009422
Indiana,0.7350394703335881
Saint Louis,0.7316017316017317
Mississippi,0.7290552584670233
Kentucky,0.7276546982429337
Virginia Tech,0.7275273745861982
Missouri,0.7266361089890503
Seton Hall,0.7224344283167814
Drake,0.7201426024955437
Louisville,0.713267125031831
Georgetown,0.7127578304048894
Michigan St.,0.7121212121212122
Davidson,0.711739241151006
Minnesota,0.7113572701807998
SMU,0.7099567099567101
Boise St.,0.7063916475681182
Xavier,0.7029539088362619
Toledo,0.7016806722689076
Colorado St.,0.6996434937611409
Auburn,0.6995161701044055
Richmond,0.6965877259994908
Wright St.,0.6963330786860199
St. John's,0.6956964604023428
Buffalo,0.6913674560733386
UC Santa Barbara,0.6894576012223073
Northwestern,0.6871657754010696
North Texas,0.6827094474153299
Utah,0.682454800101859
N.C. State,0.6822001527883881
Wichita St.,0.6807995925642985
Saint Mary's,0.6792717086834735
Providence,0.6769798828622359
Mississippi St.,0.676088617265088
Ohio,0.67519735166794
Dayton,0.6715049656226127
Marquette,0.6707410236822002
Notre Dame,0.6699770817417877
Louisiana Tech,0.6653934300993126
Stanford,0.6643748408454292
Colgate,0.6638655462184875
Oregon St.,0.6632289279348104
Abilene Christian,0.6627196333078688
Nevada,0.6540616246498601
Missouri St.,0.6538069773363892
Pittsburgh,0.6503692386045328
Marshall,0.650114591291062
Winthrop,0.6475681181563535
Furman,0.6474407944996181
Georgia,0.6442577030812325
Western Kentucky,0.6441303794244971
Nebraska,0.6440030557677617
Vanderbilt,0.6428571428571429
Liberty,0.6403106697224346
UAB,0.6403106697224346
Akron,0.6390374331550802
UNC Greensboro,0.6375095492742552
San Francisco,0.6368729309905782
Loyola Marymount,0.6366182836771073
UCF,0.6345811051693405
Belmont,0.6329258976317801
Rhode Island,0.6329258976317801
Kent St.,0.628087598675834
Washington St.,0.627450980392157
Grand Canyon,0.622612681436211
UC Irvine,0.6186656480774129
Eastern Washington,0.618411000763942
UC Riverside,0.6180290297937359
Pepperdine,0.6167557932263816
Arizona St.,0.6130634071810543
Massachusetts,0.6121721415839063
Butler,0.6091163738222563
Cincinnati,0.6066972243442833
South Dakota St.,0.6055513114336645
Indiana St.,0.604787369493252
Duquesne,0.6045327221797812
Yale,0.6027501909854852
Bowling Green,0.599694423223835
South Carolina,0.5963840081487142
Pacific,0.5960020371785079
Wofford,0.5928189457601223
Tulsa,0.5912910618792973
East Tennessee St.,0.5878533231474409
Weber St.,0.5839062897886428
Morehead St.,0.5832696715049657
Mercer,0.581232492997199
Vermont,0.5798319327731093
George Mason,0.5790679908326968
Miami FL,0.5781767252355489
DePaul,0.5769034886681946
Texas A&M,0.5705373058314236
UTEP,0.5690094219505986
California,0.5668449197860963
Ball St.,0.5653170359052714
TCU,0.5650623885918005
Temple,0.5649350649350651
Bradley,0.5597147950089127
Southern Utah,0.5595874713521773
Cal St. Bakersfield,0.5583142347848231
Boston College,0.5566590272472626
North Dakota St.,0.5560224089635855
Miami OH,0.554367201426025
Drexel,0.554367201426025
Detroit,0.5536032594856125
VMI,0.5525846702317292
Tulane,0.5514387573211104
Old Dominion,0.5514387573211104
Cleveland St.,0.5511841100076394
Oral Roberts,0.5491469314998728
Georgia St.,0.5487649605296665
Santa Clara,0.5467277820218998
Stephen F. Austin,0.5467277820218998
Chattanooga,0.5460911637382226
Kansas St.,0.544690603514133
Navy,0.5439266615737204
Jacksonville St.,0.5436720142602497
New Mexico St.,0.5423987776928955
Northern Iowa,0.5399796282149224
Princeton,0.5395976572447162
Wyoming,0.5389610389610391
Northeastern,0.5388337153043036
East Carolina,0.538324420677362
UMBC,0.5378151260504203
UTSA,0.5370511841100077
Murray St.,0.5360325948561243
UNLV,0.5338680926916222
Wake Forest,0.5329768270944742
James Madison,0.5315762668703846
Eastern Kentucky,0.5314489432136492
Washington,0.5305576776165012
Bryant,0.530175706646295
Coastal Carolina,0.5290297937356762
South Dakota,0.5285204991087346
South Florida,0.5255920550038198
Iowa St.,0.5247007894066719
Gardner Webb,0.5239368474662592
Harvard,0.5226636108989051
Iona,0.520499108734403
Florida Atlantic,0.5192258721670487
Bellarmine,0.5178253119429591
Sam Houston St.,0.5170613700025465
Texas St.,0.5147695441813089
Siena,0.5109498344792464
Fresno St.,0.5098039215686275
